tiopeptido,ring_members,series,actividad,core_YcaO,tip,numero_ncbi,n_MiBIG,cepa,especie,genero,ecosistema,sintetizado_aislado,place,year,structure,extra,referencia,DOI
thiazomycina_B,,e,antimicrobiano,,,,,MA7333,fastidiosa,amycolatopsis,,,,,,,,
thiazomycina_C,,e,antimicrobiano,,,,,MA7334,fastidiosa,amycolatopsis,,,,,,,,
thiazomycina_D,,e,antimicrobiano,,,,,MA7335,fastidiosa,amycolatopsis,,,,,,thiazomycinas_vs_tuberculosis_resistente,,
thiazomycina_E_1,,e,,,,,,MA7336,fastidiosa,amycolatopsis,,,,,,,,
thiazomycina_E_2,,e,,,,,,MA7337,fastidiosa,amycolatopsis,,,,,,,,
thiazomycina_E_3,,e,,,,,,MA7338,fastidiosa,amycolatopsis,,,,,,,,
philipimycinas_a,,e,antimicrobiano,,,,,MA7347,philippinensis,actinoplanes,,aislado,,2008,,,,
philipimycinas_b,,e,antimicrobiano,,,,,MA7348,philippinensis,actinoplanes,,aislado,,2008,,,,
saramycetin,,NA,,,,,,X-5079,nov_sp,streptomyces,,aislado,,1961,,NO_CLASISIFCADO,,
sporangiomycina,,NA,,,,,,B987,parontospora,planomonospora,,aislado,,1968,,,,
kimorezin_A,,NA,,,,,,90-GT-302,kimoraxae,kitasatospora,,aislado,,,,,,
neoberninamycina,,NA,,,,,,ATCC_53598,luteus,micrococcus,,aislado,,,,,,
